Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
4/13/18,HMCZCP5JEW,4/12/18,5,"Huge Woodside Home! Big Kitchen, BBQ, Pool",2353.6
4/13/18,HMCZCP5JEW,4/12/18,,"Huge Woodside Home! Big Kitchen, BBQ, Pool",
4/11/18,HMYZQ9QYMM,4/10/18,7,"Large home near Stanford, huge yard, 3 Bedr/2 Bath",2592.76
4/11/18,HMYZQ9QYMM,4/10/18,,"Large home near Stanford, huge yard, 3 Bedr/2 Bath",
4/9/18,HMQQMDBS42,4/8/18,4,NEW Gorgeous 4 bedr Home + Garden near Stanford,968.25
4/9/18,HMQQMDBS42,4/8/18,4,NEW Gorgeous 4 bedr Home + Garden near Stanford,322.75
4/9/18,HMQQMDBS42,4/8/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
4/1/18,HM8TEK2NW8,3/31/18,7,"Spacious 3 Bedr Apt, ideal location",1422.69
4/1/18,HM8TEK2NW8,3/31/18,7,"Spacious 3 Bedr Apt, ideal location",355.67
4/1/18,HM8TEK2NW8,3/31/18,,"Spacious 3 Bedr Apt, ideal location",
3/29/18,HMDPFQWTPE,3/28/18,9,NEW Gorgeous 4 bedr Home + Garden near Stanford,1964.74
3/29/18,HMDPFQWTPE,3/28/18,9,NEW Gorgeous 4 bedr Home + Garden near Stanford,654.91
3/29/18,HMDPFQWTPE,3/28/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
3/27/18,HMYTWB2Z9B,2/26/18,63,"Retro Suite, 2 sleeping areas- near Stanford",2484.91
3/27/18,HMYTWB2Z9B,2/26/18,63,"Retro Suite, 2 sleeping areas- near Stanford",621.23
3/25/18,HMZCBE43R5,3/24/18,17,Huge Guesthouse near Stanford: 2 Bedr+office+patio,4207.48
3/25/18,HMZCBE43R5,3/24/18,17,Huge Guesthouse near Stanford: 2 Bedr+office+patio,1051.87
3/25/18,HMZCBE43R5,3/24/18,,Huge Guesthouse near Stanford: 2 Bedr+office+patio,
3/25/18,HM2F3NEYJP,3/24/18,1,"Large home near Stanford, huge yard, 3 Bedr/2 Bath",28
3/22/18,HMF4TSZWXD,3/21/18,5,NEW Gorgeous 4 bedr Home + Garden near Stanford,563.41
3/22/18,HMF4TSZWXD,3/21/18,5,NEW Gorgeous 4 bedr Home + Garden near Stanford,187.79
3/22/18,HMF4TSZWXD,3/21/18,5,NEW Gorgeous 4 bedr Home + Garden near Stanford,-728.66
3/19/18,HMJN4M8E5E,3/18/18,13,"Huge Woodside Home! Big Kitchen, BBQ, Pool",5602
3/19/18,HMJN4M8E5E,3/18/18,,"Huge Woodside Home! Big Kitchen, BBQ, Pool",
